keyword,title,price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail
Ac,Lloyd Stylus 1.5 Ton 5 Star Wi-Fi Inverter Split AC,27049.0,"₹27,049",,,Reliance Digital,27,Free delivery by Sat,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSGGHJAmPb4r4Hxe2v6WI9aSDD0K6QX0e269fLhuJQnsI6T0KLEPVOAIuKJ6kjwXoJMq68ZTPMDyRe4gcHqST-gOTppllPOzy4Cu906ESxKSb8ZIMHZi0jNvA
Ac,STYLEHEAVEN Air Conditioner Remote or Touch Control Portable AC for Room Bedroom Kitchen,16840.0,"₹16,840",,,Amazon.in,28,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSZOyI4EZovONCXNHzPYIKJpb1bH2PbEZezm6ksUuOgtvTbXKjVy0uXul4Or2prNH04U9aRaw0hUPnfXXFgyiCLvflx3mGe7eKrIeMJdwzn9nra0HFC10f3qw
Ac,7 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Anti Viral Dust Filter (2026 Model),32990.0,"₹32,990",5.0,1.0,Croma,29,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcROzZDmytA_ZDcv1wX7OG-vj0b4WuRG2vMFeGjh8eGiDudFCoQxStxCB4AVFRjosMUog_ZLV8ryKLzlTTIctEBo688QBDo2Eyfz5u6TbF5uNFIFeUp2AdSvCA
Ac,Haier 1.6 Ton 5 Star Split Inverter AC,43990.0,"₹43,990",,,Flipkart,30,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQHWPIEjMVPIfmz7fz8257-X_9P1RVO2TpJdM1jhf7CNRhxp2wK8ee1DFtGz04zFhh1OiXUerv8VaNkNhrZPIIlVsuTFEhFfFaUzHfD9tg
Ac,O General 5 Star Window Air Conditioner 2023 Model,22000.0,"₹22,000",3.5,6.0,Tradeindia.com,31,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTL7sUd1420L8GFWQltJ5v2HRmyPBBAZHn5kFuV8K61KKiTFF4DNhxwkVo9195Of3-dHNJyH7mgSOAfQxOIapu2nceYucHS
Ac,Sansui 1.5 Ton 5 star 4 in 1 Convertible inverter split AC jse185si2301,30490.0,"₹30,490",,,Reliance Digital,32,Free delivery by Sat,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTi94Yuumyug09xGLqUov_ZGvpyJSa8pNJDm8zgD5YUra7ucs358M84FPPGnve-cfXbh6l-IId2yMtXcmO2jukaFY8UQJP9MgKFEfLSf3Kv2iBSq1zZskhjFw
Ac,Hitachi 1.5 Ton 3 Star New Star rated Inverter Split AC Smart View Display 4 Way Swing,36500.0,"₹36,500",,,Amazon.in,33,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQUpkej-68sktA0rMf06sM1UvYoA5JXSmeXhEU0vP_J15JV9KNRn8QYEBAF4S3iNj8Ti8OReg3N0zxisDvxFmUw2LfIZyjwfpmiD_j5ECoWO0JRX-hISbWXRg
Ac,Godrej 2026 Model 1.5 Ton 5 Star Split Inverter AC,37690.0,"₹37,690",,,Flipkart,34,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTZuTGUG4QGpPPhHiaTlGbNKG9bmU9GS893dd4HEkvudy43ufowm5jUO3pFLj7kOBhO5SPELzdnGMJS7v-eGfxCHlxZe6lvLPrhGA8Fzks
Ac,Blue Star 1.5 Ton 3 Star,32709.0,"₹32,709",,,Moglix,35,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRZpbTUfuKkS3RiYEoWyOPZceyPcMKgdGCqC0RlDNhS5wHDGH0k7SAhDTaRy-0M4hbRkpg7JyiEU4IOlA6TRTNeZBDJrVbABA
Ac,Acer 1.5 Ton 3 Star Smart Split AC,25490.0,"₹25,490",,,Reliance Digital,36,Free delivery by Sat,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQmMOC0os9NvfvdWFO30goZHGtYJla3_hWIPDUAeSSOCR9RBZnCunxMZ_kzdwsJijng2dqI1ynaQjUnzlcRAk7xu2vBP7uIab1uPC4RIIJ_tbkkLCjKvcO-fg
Ac,Daikin 2026 1.5 Ton 3 Star Split Inverter AC,37490.0,"₹37,490",,,Amazon.in,37,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRHWLKZ0UlMcQz59qWIp0k4q8AxreooKHD0HDc7SAVB-rGUAeTyTyMWpbIVN8tDAvKIW7fPiWap5uQqel2hBL0CFJx-9x9e6eGjXvjrZJ16xSiF7oTI3mvB
Ac,Whirlpool Magicool Inverter Split AC,32240.0,"₹32,240",,,Flipkart,38,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR2yQBRXCJo45cgdcBbDxZn97rOBfAsxQZNo-KqOU3U4naOn1HgLCt1JWatqMMAA9tzr2Kt60-2Ua0MZtSebQ5AJinGaTd-FFYvFf4-TIk
Ac,Lloyd 1 Ton 3 Star 6 in 1 Convertible Inverter Split AC GLS12I3ASAHC,31990.0,"₹31,990",,,Havells,39,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSVcoH7A5zQnLuN_MmIoDHiK-xLieBtBNTBqHPTHzDX8JH4baAGP5T-YqysqCBpchrT2N6D8701BdOVByTTfbIcNKcidNnT
Ac,Hisense IntelliCool 1 Ton 3 Star Inverter Split AC,26990.0,"₹26,990",,,Reliance Digital,40,Free delivery by Sat,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQu-_VwNPXbpphRfZ_q2QWnrLciLKVT-aQIfKFTUd1Tf-kMc1e6rbdbLYpeyXIp-wsFTnODXMI-iy2Z5Mh15L2-tq9vid9mGN18j7PtqlI9Hrv2aK2Q8CHB
